City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,pontes e lacerda,-15.2261,-59.3353,302.74,64,2,0.72,BR,1682533034
233,pandan,14.0453,124.1694,299.09,86,40,4.28,PH,1682533034
234,opuwo,-18.0607,13.84,297.51,51,98,2.23,NA,1682533035
235,hotan,37.0997,79.9269,291.97,23,100,1.83,CN,1682533036
236,tabou,4.423,-7.3528,300.12,79,99,2.06,CI,1682533037
237,sefrou,33.8319,-4.828,305.68,9,40,4.12,MA,1682533037
238,tsiombe,-25.3,45.4833,292.66,82,10,1.04,MG,1682533038
239,luanda,-8.8368,13.2343,300.15,74,40,4.12,AO,1682533038
240,guerrero negro,27.9769,-114.0611,288.9,73,65,5.77,MX,1682532759
241,gladstone,-23.85,151.25,293.11,77,40,4.63,AU,1682533039
242,ulladulla,-35.35,150.4667,287.75,81,59,2.68,AU,1682533040
243,alenquer,-1.9417,-54.7383,301.37,78,100,0.26,BR,1682533041
244,grande prairie,55.1667,-118.8027,281.25,36,100,5.66,CA,1682533042
245,qaqortoq,60.7167,-46.0333,275.21,82,86,1.58,GL,1682533043
246,nemuro,43.3236,145.575,277.28,97,100,7.88,JP,1682533043
247,tazovsky,67.4667,78.7,260.27,99,74,2.03,RU,1682533044
248,kuhmo,64.1333,29.5167,275.55,100,100,3.56,FI,1682533044
249,pucheng,27.9233,118.5333,286.28,94,31,1.01,CN,1682533045
250,kununurra,-15.7667,128.7333,296.14,88,52,2.57,AU,1682533046
251,rio preto da eva,-2.6994,-59.6997,300.76,88,90,2.04,BR,1682533047
252,jobner,26.9667,75.3833,300.83,26,78,4.81,IN,1682533048
253,hawassa,7.05,38.4667,292.25,78,94,1.59,ET,1682533049
254,rio grande,-32.035,-52.0986,297.21,71,45,3.33,BR,1682533050
255,capinopolis,-18.6819,-49.5697,301.04,59,30,2.49,BR,1682533050
256,rikaze,29.25,88.8833,279.03,33,80,2.3,CN,1682533051
257,alesund,62.4723,6.1549,276.99,92,75,4.63,NO,1682532860
258,el colomo,19.05,-104.25,299.14,46,88,3.22,MX,1682533053
259,la passe,45.5549,-0.8967,289.28,91,100,2.06,FR,1682533053
260,dalandzadgad,43.5708,104.425,277.98,23,70,4.67,MN,1682533054
261,tamanrasset,22.785,5.5228,303.1,9,0,2.57,DZ,1682533054
262,yung shue wan,22.2333,114.1167,295.19,81,88,0.45,HK,1682533055
263,kavaratti,10.5669,72.642,301.17,69,89,2.64,IN,1682533056
264,santa cruz,-17.8,-63.1667,301.85,61,75,6.17,BO,1682533056
265,ta`u,-14.2336,-169.5144,301.12,74,62,3.8,AS,1682533058
266,sant lluis,39.8526,4.2594,291.37,59,0,2.57,ES,1682533058
267,atafu village,-8.5421,-172.5159,301.51,76,100,5.66,TK,1682533058
268,boise,43.6135,-116.2035,291.51,44,0,4.12,US,1682533019
269,budaun,28.05,79.1167,301.35,22,93,2.53,IN,1682533059
